DATE,RGDPMRPUKM
1920-01-01,339.71
1920-02-01,341.67
1920-03-01,338.77
1920-04-01,340.80
1920-05-01,341.66
1920-06-01,341.99
1920-07-01,342.44
1920-08-01,342.90
1920-09-01,338.67
1920-10-01,331.40
1920-11-01,326.54
1920-12-01,320.44
1921-01-01,319.27
1921-02-01,314.83
1921-03-01,312.61
1921-04-01,293.29
1921-05-01,264.14
1921-06-01,273.25
1921-07-01,314.97
1921-08-01,315.56
1921-09-01,313.81
1921-10-01,311.28
1921-11-01,311.35
1921-12-01,309.64
1922-01-01,310.53
1922-02-01,313.25
1922-03-01,314.55
1922-04-01,317.89
1922-05-01,320.57
1922-06-01,321.02
1922-07-01,325.97
1922-08-01,328.21
1922-09-01,325.40
1922-10-01,324.68
1922-11-01,323.42
1922-12-01,322.51
1923-01-01,325.54
1923-02-01,325.88
1923-03-01,326.69
1923-04-01,327.99
1923-05-01,329.51
1923-06-01,331.63
1923-07-01,328.85
1923-08-01,330.32
1923-09-01,332.01
1923-10-01,334.07
1923-11-01,334.51
1923-12-01,334.99
1924-01-01,335.11
1924-02-01,337.66
1924-03-01,339.82
1924-04-01,342.63
1924-05-01,345.16
1924-06-01,346.47
1924-07-01,348.16
1924-08-01,349.39
1924-09-01,349.84
1924-10-01,349.96
1924-11-01,352.56
1924-12-01,352.24
1925-01-01,355.54
1925-02-01,355.02
1925-03-01,356.13
1925-04-01,357.04
1925-05-01,357.04
1925-06-01,357.21
1925-07-01,357.17
1925-08-01,357.01
1925-09-01,357.54
1925-10-01,360.29
1925-11-01,361.85
1925-12-01,363.14
1926-01-01,365.27
1926-02-01,366.10
1926-03-01,365.48
1926-04-01,366.92
1926-05-01,332.01
1926-06-01,330.21
1926-07-01,332.27
1926-08-01,333.33
1926-09-01,333.97
1926-10-01,336.49
1926-11-01,340.26
1926-12-01,358.70
1927-01-01,366.54
1927-02-01,370.99
1927-03-01,372.55
1927-04-01,374.00
1927-05-01,375.39
1927-06-01,375.17
1927-07-01,375.65
1927-08-01,375.39
1927-09-01,374.74
1927-10-01,373.95
1927-11-01,373.89
1927-12-01,372.75
1928-01-01,374.51
1928-02-01,375.04
1928-03-01,376.02
1928-04-01,378.04
1928-05-01,377.60
1928-06-01,376.12
1928-07-01,375.91
1928-08-01,376.64
1928-09-01,377.43
1928-10-01,377.05
1928-11-01,377.57
1928-12-01,379.08
1929-01-01,380.42
1929-02-01,380.80
1929-03-01,383.75
1929-04-01,385.55
1929-05-01,386.72
1929-06-01,388.57
1929-07-01,389.97
1929-08-01,390.87
1929-09-01,390.80
1929-10-01,390.59
1929-11-01,391.27
1929-12-01,390.68
1930-01-01,392.25
1930-02-01,391.45
1930-03-01,389.14
1930-04-01,388.90
1930-05-01,387.30
1930-06-01,386.49
1930-07-01,384.37
1930-08-01,383.60
1930-09-01,380.60
1930-10-01,378.01
1930-11-01,377.86
1930-12-01,373.03
1931-01-01,368.65
1931-02-01,369.11
1931-03-01,366.90
1931-04-01,366.61
1931-05-01,366.69
1931-06-01,364.78
1931-07-01,365.06
1931-08-01,365.09
1931-09-01,363.99
1931-10-01,365.94
1931-11-01,367.96
1931-12-01,368.23
1932-01-01,367.40
1932-02-01,368.29
1932-03-01,368.46
1932-04-01,366.34
1932-05-01,365.14
1932-06-01,365.47
1932-07-01,365.25
1932-08-01,364.05
1932-09-01,362.29
1932-10-01,366.27
1932-11-01,366.62
1932-12-01,376.43
1933-01-01,368.53
1933-02-01,370.05
1933-03-01,370.35
1933-04-01,373.25
1933-05-01,374.92
1933-06-01,378.10
1933-07-01,380.35
1933-08-01,381.14
1933-09-01,383.42
1933-10-01,385.01
1933-11-01,387.49
1933-12-01,389.39
1934-01-01,393.11
1934-02-01,394.11
1934-03-01,396.87
1934-04-01,399.13
1934-05-01,400.23
1934-06-01,401.22
1934-07-01,402.42
1934-08-01,403.96
1934-09-01,404.58
1934-10-01,404.37
1934-11-01,406.25
1934-12-01,406.76
1935-01-01,406.38
1935-02-01,407.09
1935-03-01,408.84
1935-04-01,412.61
1935-05-01,414.40
1935-06-01,416.03
1935-07-01,417.99
1935-08-01,418.43
1935-09-01,419.94
1935-10-01,421.05
1935-11-01,423.40
1935-12-01,424.83
1936-01-01,425.27
1936-02-01,427.69
1936-03-01,429.62
1936-04-01,432.15
1936-05-01,435.04
1936-06-01,436.68
1936-07-01,439.55
1936-08-01,440.65
1936-09-01,440.34
1936-10-01,440.31
1936-11-01,441.50
1936-12-01,440.20
1937-01-01,442.43
1937-02-01,444.59
1937-03-01,445.18
1937-04-01,448.49
1937-05-01,450.17
1937-06-01,453.09
1937-07-01,453.54
1937-08-01,455.07
1937-09-01,455.59
1937-10-01,455.38
1937-11-01,455.70
1937-12-01,452.78
1938-01-01,455.70
1938-02-01,454.87
1938-03-01,453.49
1938-04-01,452.97
1938-05-01,453.23
1938-06-01,452.30
1938-07-01,453.44
1938-08-01,453.54
1938-09-01,454.88
1938-10-01,456.15
1938-11-01,456.43
1938-12-01,457.00
